56	348184.509515052	[237.02193319 208.06385799 177.21615413] 0.17078888888888888	[0. 0. 0.] 0.6186	[164.81886579  98.34946234  30.90699016] 0.11198888888888889	[101.54131615  84.2009701   68.07721627] 0.0165	[16.52519004 20.90248829 26.53321645] 0.08212222222222222
57	359822.692659369	[1.5717692  2.25898976 3.28544406] 0.6377333333333334	[168.60274394 101.20119428  33.71522504] 0.1106111111111111	[234.51558918 206.30233669 176.2728998 ] 0.17003333333333334	[79.55851341 73.61314709 68.55649294] 0.024777777777777777	[125.65690077  73.38120961  14.64069909] 0.05684444444444445
58	357455.709320651	[215.88811379  77.80677591   2.8472545 ] 0.1486222222222222	[246.42128534 235.25600877 188.80783534] 0.2429888888888889	[4.48949384 5.56409711 7.66504828] 0.5705333333333333	[170.34772332 128.16413925 124.73720634] 0.01721111111111111	[131.35868868  49.30485831  20.3271592 ] 0.020644444444444444
59	360882.13597913104	[207.66815966  74.40634443   1.98322659] 0.1097111111111111	[4.20808962 5.23989129 7.19650251] 0.5623666666666667	[245.598676   234.41541848 187.66146369] 0.28178888888888887	[132.51294278  48.40481503   6.72780546] 0.022433333333333333	[148.84460148 125.17686476 114.25307582] 0.0237
60	343349.6188510856	[ 82.85552207 136.73953017 178.09839784] 0.09218888888888889	[1.29970195 2.0778829  3.23836924] 0.7906888888888889	[188.54959798 205.1199929  228.78149733] 0.0564	[249.54048467 249.71108696 249.72921016] 0.0443	[59.49458022 72.86396681 87.79404411] 0.016422222222222223
61	11663714488445.35	[14.66269765 20.68019983 27.6414381 ] 0.1582111111111111	[251.49034297 251.60147456 251.67611682] 0.19137777777777779	[ 86.42839687 143.63985996 187.89385535] 0.11867777777777777	[1.15576618e-11 1.46483337e-11 2.07622114e-11] 0.5076111111111111	[ 94.64187073 103.94940015 113.66530672] 0.024122222222222222
62	330746.6788993965	[2.08154878 3.30290007 5.11520824] 0.6011777777777778	[208.95072791 210.16704793 210.71080227] 0.03671111111111111	[ 79.34236713 133.87415184 175.00485436] 0.17952222222222222	[254.52153618 254.53994127 254.54000789] 0.15747777777777777	[68.79484014 82.37017347 95.55114685] 0.025111111111111112
63	335570.8252421037	[1.35011359 1.81085166 2.34320633] 0.7212444444444445	[236.53395233 194.660242     0.29906724] 0.14725555555555556	[128.90967979  94.022191    66.0057086 ] 0.04237777777777778	[192.56869889 159.77204745   1.81361225] 0.08207777777777778	[244.24298107 239.19641374 188.3599579 ] 0.007044444444444444
64	349881.3856741293	[2.04050858 2.40925186 2.81171701] 0.7081111111111111	[169.03135018 129.27868552   2.12365921] 0.06791111111111112	[132.66744805  93.74883612  71.6786727 ] 0.06294444444444444	[196.16632617 209.9377281  209.78667138] 0.017566666666666668	[2.14345868e+02 1.63496145e+02 1.72352337e-02] 0.14346666666666666
65	350499.56902966724	[2.15697738 2.68143239 3.31426813] 0.6992111111111111	[2.14413349e+02 1.63550671e+02 1.26348076e-02] 0.1277	[134.10552435  94.68875622  73.68677098] 0.07663333333333333	[189.20483904 205.141519   204.61450239] 0.039	[170.12616946 130.04209594   1.88190142] 0.05745555555555556
66	322523.1551404018	[2.38917711 2.98464742 3.87217193] 0.6968555555555556	[211.16232875 217.05589498 219.0246432 ] 0.20692222222222223	[224.90023774 211.84696471 117.89940189] 0.02118888888888889	[212.31742762   2.52864849  31.80260737] 0.006522222222222222	[161.91892278 166.69730684 167.89499429] 0.0685111111111111
67	370452.27596740285	[3.06356557 3.90371378 6.32843264] 0.6297777777777778	[200.52829159 211.18778845 229.50388329] 0.3070555555555556	[222.63129779 197.21432224  34.1453197 ] 0.019455555555555556	[191.4296216   46.55501996  65.99094585] 0.008577777777777778	[88.3442733  93.97329738 94.43329135] 0.035133333333333336
